Label,Issue,Suggestion
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple image formats,The system shall display an error message and prevent running inferences with unsupported combinations of multiple image formats
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components and neural network topologies,The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components and neural network topologies
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components and image formats,The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components and image formats
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple neural network topologies and image formats,The system shall display an error message and prevent running inferences with unsupported combinations of multiple neural network topologies and image formats
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components, neural network topologies, and image formats","The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components, neural network topologies, and image formats"
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardwar
